"L: 0.1"
"e0: 5"
"t: 5"
"Number of Energies: 400"
"Number of Phases: 400"
"Threshold: 0.01"
"phase","energy"
2.701769682087222,0.1825
2.701769682087222,0.185
2.7174776453551712,0.175
2.7174776453551712,0.1775
2.7174776453551712,0.18
2.73318560862312,0.1675
2.73318560862312,0.17
2.73318560862312,0.1725
2.748893571891069,0.16
2.748893571891069,0.1625
2.748893571891069,0.165
2.748893571891069,0.1675
2.764601535159018,0.155
2.764601535159018,0.1575
2.764601535159018,0.16
2.7803094984269667,0.1475
2.7803094984269667,0.15
2.7803094984269667,0.1525
2.796017461694916,0.1425
2.796017461694916,0.145
2.796017461694916,0.1475
2.811725424962865,0.135
2.811725424962865,0.1375
2.811725424962865,0.14
2.827433388230814,0.1275
2.827433388230814,0.13
2.827433388230814,0.1325
2.827433388230814,0.135
2.8431413514987627,0.1225
2.8431413514987627,0.125
2.8431413514987627,0.1275
2.858849314766712,0.115
2.858849314766712,0.1175
2.858849314766712,0.12
2.874557278034661,0.1075
2.874557278034661,0.11
2.874557278034661,0.1125
2.874557278034661,0.115
2.8902652413026098,0.1025
2.8902652413026098,0.105
2.8902652413026098,0.1075
2.9059732045705586,0.095
2.9059732045705586,0.0975
2.9059732045705586,0.1
2.9059732045705586,0.1025
2.921681167838508,0.09
2.921681167838508,0.0925
2.921681167838508,0.095
2.937389131106457,0.0825
2.937389131106457,0.085
2.937389131106457,0.0875
2.9530970943744053,0.075
2.9530970943744053,0.0775
2.9530970943744053,0.08
2.9530970943744053,0.0825
2.968805057642354,0.07
2.968805057642354,0.0725
2.968805057642354,0.075
2.9845130209103035,0.0625
2.9845130209103035,0.065
2.9845130209103035,0.0675
3.0002209841782523,0.055
3.0002209841782523,0.0575
3.0002209841782523,0.06
3.0002209841782523,0.0625
3.015928947446201,0.05
3.015928947446201,0.0525
3.015928947446201,0.055
3.03163691071415,0.0425
3.03163691071415,0.045
3.03163691071415,0.0475
3.03163691071415,0.05
3.0473448739820994,0.0375
3.0473448739820994,0.04
3.0473448739820994,0.0425
3.0630528372500483,0.03
3.0630528372500483,0.0325
3.0630528372500483,0.035
3.078760800517997,0.0225
3.078760800517997,0.025
3.078760800517997,0.0275
3.078760800517997,0.03
3.094468763785946,0.0175
3.094468763785946,0.02
3.094468763785946,0.0225
3.1101767270538954,0.01
3.1101767270538954,0.0125
3.1101767270538954,0.015
3.1258846903218442,0.0025
3.1258846903218442,0.005
3.1258846903218442,0.0075
3.1258846903218442,0.01
3.141592653589793,0.
3.141592653589793,0.
3.141592653589793,0.0025
3.1573006168577415,0.0025
3.1573006168577415,0.005
3.173008580125691,0.01
3.173008580125691,0.0125
3.1887165433936397,0.0175
3.204424506661589,0.0225
3.204424506661589,0.025
3.2201324699295375,0.03
3.2201324699295375,0.0325
3.235840433197487,0.0375
3.2515483964654357,0.0425
3.2515483964654357,0.045
3.267256359733385,0.05
3.267256359733385,0.0525
3.2829643230013335,0.055
3.2829643230013335,0.0575
3.2986722862692828,0.0625
3.2986722862692828,0.065
3.3143802495372316,0.07
3.330088212805181,0.075
3.330088212805181,0.0775
3.3457961760731294,0.0825
3.3457961760731294,0.085
3.3615041393410787,0.09
3.3772121026090276,0.095
3.3772121026090276,0.0975
3.392920065876977,0.1025
3.392920065876977,0.105
3.4086280291449254,0.1075
3.4086280291449254,0.11
3.4243359924128747,0.115
3.4243359924128747,0.1175
3.4400439556808236,0.1225
3.455751918948773,0.1275
3.455751918948773,0.13
3.4714598822167213,0.135
3.4714598822167213,0.1375
3.4871678454846706,0.1425
3.5028758087526195,0.1475
3.5028758087526195,0.15
3.518583772020569,0.155
3.5342917352885173,0.16
3.5342917352885173,0.1625
3.5499996985564657,0.1675
3.5499996985564657,0.17
3.565707661824415,0.175
3.581415625092364,0.18
3.581415625092364,0.1825
3.597123588360313,0.1875
3.6128315516282616,0.1925
3.6128315516282616,0.195
3.628539514896211,0.2
3.628539514896211,0.2025
3.64424747816416,0.2075
3.659955441432109,0.2125
3.659955441432109,0.215
3.6756634047000576,0.22
3.691371367968007,0.225
3.691371367968007,0.2275
3.707079331235956,0.2325
3.722787294503905,0.2375
3.722787294503905,0.24
3.7384952577718535,0.245
3.7384952577718535,0.2475
3.754203221039803,0.2525
3.7699111843077517,0.2575
3.7699111843077517,0.26
3.785619147575701,0.265
3.8013271108436495,0.27
3.8013271108436495,0.2725
3.817035074111599,0.2775
3.8327430373795477,0.2825
3.8327430373795477,0.285
3.848451000647497,0.29
3.8641589639154454,0.295
3.8641589639154454,0.2975
3.8798669271833948,0.3025
3.8955748904513436,0.3075
3.8955748904513436,0.31
3.911282853719293,0.315
3.911282853719293,0.3175
3.9269908169872414,0.32
3.9269908169872414,0.3225
3.94269878025519,0.3275
3.94269878025519,0.33
3.958406743523139,0.3325
3.958406743523139,0.335
3.974114706791088,0.34
3.974114706791088,0.3425
3.9898226700590373,0.345
3.9898226700590373,0.3475
4.005530633326986,0.3525
4.0212385965949355,0.3575
4.0212385965949355,0.36
4.0369465598628835,0.365
4.052654523130833,0.37
4.052654523130833,0.3725
4.068362486398782,0.3775
4.084070449666731,0.3825
4.084070449666731,0.385
4.09977841293468,0.39
4.115486376202629,0.395
4.115486376202629,0.3975
4.131194339470578,0.4025
4.1469023027385274,0.4075
4.1469023027385274,0.41
4.162610266006475,0.415
4.178318229274425,0.42
4.194026192542374,0.425
4.194026192542374,0.4275
4.209734155810323,0.4325
4.225442119078272,0.4375
4.225442119078272,0.44
4.241150082346221,0.445
4.25685804561417,0.45
4.272566008882119,0.455
4.272566008882119,0.4575
4.288273972150067,0.4625
4.303981935418017,0.4675
4.303981935418017,0.47
4.319689898685965,0.4725
4.319689898685965,0.475
4.335397861953914,0.48
4.351105825221864,0.485
4.351105825221864,0.4875
4.366813788489812,0.4925
4.3825217517577615,0.4975
4.39822971502571,0.5025
4.39822971502571,0.505
4.413937678293659,0.5075
4.413937678293659,0.51
4.429645641561608,0.515
4.445353604829557,0.52
4.445353604829557,0.5225
4.461061568097506,0.525
4.461061568097506,0.5275
4.476769531365456,0.5325
4.492477494633404,0.5375
4.508185457901353,0.5425
4.508185457901353,0.545
4.523893421169302,0.5475
4.523893421169302,0.55
4.539601384437251,0.555
4.5553093477052,0.56
4.571017310973149,0.565
4.571017310973149,0.5675
4.586725274241098,0.57
4.586725274241098,0.5725
4.6024332375090475,0.5775
4.6181412007769955,0.5825
4.633849164044945,0.5875
4.649557127312894,0.5925
4.649557127312894,0.595
4.665265090580843,0.5975
4.665265090580843,0.6
4.680973053848792,0.605
4.696681017116741,0.61
4.71238898038469,0.615
4.7280969436526386,0.62
4.743804906920587,0.625
4.743804906920587,0.6275
4.759512870188536,0.63
4.759512870188536,0.6325
4.775220833456485,0.635
4.775220833456485,0.6375
4.790928796724434,0.6425
4.806636759992384,0.6475
4.822344723260332,0.6525
4.838052686528282,0.6575
4.8537606497962305,0.6625
4.869468613064179,0.6675
4.885176576332128,0.6725
4.900884539600077,0.6775
4.916592502868026,0.6825
4.932300466135976,0.6875
4.948008429403924,0.6925
4.9637163926718735,0.6975
4.979424355939822,0.7025
4.995132319207771,0.7075
5.01084028247572,0.7125
5.026548245743669,0.7175
5.042256209011618,0.7225
5.057964172279568,0.7275
5.073672135547516,0.73
