"L: 0.1"
"e0: 4"
"t: 20"
"Number of Energies: 400"
"Number of Phases: 400"
"Threshold: 0.01"
"phase","energy"
0.7225663103256524,0.5225
0.7382742735936013,0.33
0.7382742735936013,0.525
0.7539822368615503,0.3275
0.7539822368615503,0.5275
0.7696902001294993,0.325
0.7696902001294993,0.3275
0.7696902001294993,0.53
0.7853981633974483,0.325
0.7853981633974483,0.53
0.8011061266653973,0.3225
0.8011061266653973,0.5325
0.8168140899333463,0.32
0.8168140899333463,0.535
0.8325220532012952,0.3175
0.8325220532012952,0.5375
0.8482300164692442,0.315
0.8482300164692442,0.54
0.8639379797371932,0.3125
0.8639379797371932,0.54
0.8796459430051422,0.3125
0.8796459430051422,0.5425
0.895353906273091,0.31
0.895353906273091,0.545
0.91106186954104,0.3075
0.91106186954104,0.5475
0.91106186954104,0.9975
0.926769832808989,0.305
0.926769832808989,0.55
0.9424777960769379,0.3025
0.9424777960769379,0.55
0.9581857593448869,0.3
0.9581857593448869,0.5525
0.9738937226128359,0.2975
0.9738937226128359,0.555
0.9896016858807848,0.2975
0.9896016858807848,0.5575
0.9896016858807848,0.995
1.0053096491487339,0.295
1.0053096491487339,0.5575
1.0053096491487339,0.56
1.0210176124166828,0.2925
1.0210176124166828,0.56
1.0367255756846319,0.29
1.0367255756846319,0.5625
1.0524335389525807,0.2875
1.0524335389525807,0.565
1.0681415022205298,0.285
1.0681415022205298,0.5675
1.0838494654884785,0.2825
1.0838494654884785,0.285
1.0838494654884785,0.5675
1.0995574287564276,0.2825
1.0995574287564276,0.57
1.0995574287564276,0.99
1.1152653920243765,0.28
1.1152653920243765,0.5725
1.1309733552923256,0.2775
1.1309733552923256,0.575
1.1466813185602744,0.275
1.1466813185602744,0.5775
1.1466813185602744,0.9875
1.1623892818282235,0.2725
1.1623892818282235,0.5775
1.1780972450961724,0.27
1.1780972450961724,0.58
1.1938052083641213,0.2675
1.1938052083641213,0.27
1.1938052083641213,0.5825
1.1938052083641213,0.985
1.2095131716320704,0.2675
1.2095131716320704,0.585
1.2252211349000193,0.265
1.2252211349000193,0.5875
1.2409290981679684,0.2625
1.2409290981679684,0.5875
1.2409290981679684,0.9825
1.2566370614359172,0.26
1.2566370614359172,0.59
1.2723450247038663,0.2575
1.2723450247038663,0.5925
1.288052987971815,0.255
1.288052987971815,0.595
1.303760951239764,0.2525
1.303760951239764,0.255
1.303760951239764,0.595
1.319468914507713,0.2525
1.319468914507713,0.5975
1.319468914507713,0.9775
1.335176877775662,0.25
1.335176877775662,0.6
1.350884841043611,0.2475
1.350884841043611,0.6025
1.36659280431156,0.245
1.36659280431156,0.605
1.382300767579509,0.2425
1.382300767579509,0.605
1.398008730847458,0.24
1.398008730847458,0.6075
1.398008730847458,0.9725
1.413716694115407,0.2375
1.413716694115407,0.24
1.413716694115407,0.61
1.429424657383356,0.2375
1.429424657383356,0.6125
1.429424657383356,0.97
1.4451326206513049,0.235
1.4451326206513049,0.6125
1.460840583919254,0.2325
1.460840583919254,0.615
1.4765485471872026,0.23
1.4765485471872026,0.6175
1.4922565104551517,0.2275
1.4922565104551517,0.62
1.5079644737231006,0.225
1.5079644737231006,0.6225
1.5236724369910497,0.2225
1.5236724369910497,0.225
1.5236724369910497,0.6225
1.5393804002589986,0.2225
1.5393804002589986,0.625
1.5393804002589986,0.9625
1.5550883635269477,0.22
1.5550883635269477,0.6275
1.5707963267948966,0.2175
1.5707963267948966,0.63
1.5707963267948966,0.96
1.5865042900628454,0.215
1.5865042900628454,0.63
1.6022122533307945,0.2125
1.6022122533307945,0.6325
1.6022122533307945,0.9575
1.6179202165987434,0.21
1.6179202165987434,0.635
1.6336281798666925,0.2075
1.6336281798666925,0.6375
1.6336281798666925,0.955
1.6493361431346414,0.2075
1.6650441064025905,0.205
1.6650441064025905,0.64
1.6650441064025905,0.9525
1.6807520696705394,0.2025
1.6807520696705394,0.6425
1.6964600329384885,0.2
1.6964600329384885,0.645
1.6964600329384885,0.95
1.7121679962064373,0.1975
1.7121679962064373,0.6475
1.7278759594743864,0.195
1.7278759594743864,0.6475
1.7278759594743864,0.9475
1.7435839227423353,0.1925
1.7435839227423353,0.65
1.7592918860102844,0.19
1.7592918860102844,0.1925
1.7592918860102844,0.6525
1.7592918860102844,0.945
1.7749998492782328,0.19
1.7749998492782328,0.655
1.790707812546182,0.1875
1.790707812546182,0.655
1.790707812546182,0.9425
1.8064157758141308,0.185
1.8064157758141308,0.6575
1.82212373908208,0.1825
1.82212373908208,0.66
1.82212373908208,0.94
1.8378317023500288,0.18
1.8378317023500288,0.6625
1.853539665617978,0.1775
1.853539665617978,0.6625
1.853539665617978,0.9375
1.8692476288859268,0.175
1.8692476288859268,0.1775
1.8692476288859268,0.665
1.8849555921538759,0.175
1.8849555921538759,0.6675
1.8849555921538759,0.935
1.9006635554218247,0.1725
1.9006635554218247,0.67
1.9163715186897738,0.17
1.9163715186897738,0.67
1.9320794819577227,0.1675
1.9320794819577227,0.6725
1.9477874452256718,0.165
1.9477874452256718,0.675
1.9634954084936207,0.1625
1.9634954084936207,0.6775
1.9634954084936207,0.9275
1.9792033717615696,0.16
1.9792033717615696,0.6775
1.9949113350295187,0.16
1.9949113350295187,0.68
1.9949113350295187,0.925
2.0106192982974678,0.1575
2.0106192982974678,0.6825
2.0263272615654166,0.155
2.0263272615654166,0.685
2.0263272615654166,0.9225
2.0420352248333655,0.1525
2.0420352248333655,0.685
2.0577431881013144,0.15
2.0577431881013144,0.6875
2.0734511513692637,0.1475
2.0734511513692637,0.69
2.0891591146372126,0.145
2.0891591146372126,0.6925
2.1048670779051615,0.1425
2.1048670779051615,0.145
2.1048670779051615,0.6925
2.1048670779051615,0.915
2.1205750411731104,0.1425
2.1205750411731104,0.695
2.1362830044410597,0.14
2.1362830044410597,0.6975
2.1362830044410597,0.9125
2.1519909677090086,0.1375
2.1519909677090086,0.7
2.167698930976957,0.135
2.167698930976957,0.7
2.167698930976957,0.91
2.183406894244906,0.1325
2.183406894244906,0.7025
2.199114857512855,0.13
2.199114857512855,0.705
2.214822820780804,0.1275
2.214822820780804,0.7075
2.214822820780804,0.905
2.230530784048753,0.125
2.230530784048753,0.1275
2.230530784048753,0.7075
2.246238747316702,0.125
2.246238747316702,0.71
2.246238747316702,0.9025
2.261946710584651,0.1225
2.261946710584651,0.7125
2.2776546738526,0.12
2.2776546738526,0.715
2.293362637120549,0.1175
2.293362637120549,0.715
2.293362637120549,0.8975
2.3090706003884978,0.115
2.3090706003884978,0.7175
2.324778563656447,0.1125
2.324778563656447,0.72
2.324778563656447,0.895
2.340486526924396,0.11
2.340486526924396,0.1125
2.340486526924396,0.72
2.356194490192345,0.11
2.356194490192345,0.7225
2.3719024534602937,0.1075
2.3719024534602937,0.725
